HOMEODDS,HOMEPREDICTION,AWAYODDS,AWAYPREDICTION,RESULT,MONTH,DAY
1.71,0.7785897,2.23,0.22141027,1.0,04,24
1.79,0.22052906,2.1,0.77947086,0.0,04,24
1.98,0.51720333,1.89,0.4827967,0.0,04,24
1.97,0.4494369,1.89,0.55056316,0.0,04,24
2.13,0.44329852,1.77,0.5567015,0.0,04,24
2.33,0.31500933,1.66,0.68499064,0.0,04,24
1.92,0.3688272,1.94,0.6311728,0.0,04,24
1.52,0.5047764,2.58,0.49522352,0.0,04,25
2.11,0.19984749,1.76,0.8001525,0.0,04,25
1.76,0.41403773,2.15,0.58596224,1.0,04,25
1.46,0.68312347,2.82,0.3168765,1.0,04,25
1.78,0.74644303,2.12,0.25355697,1.0,04,25
2.06,0.53379166,1.82,0.46620834,0.0,04,25
2.27,0.4697886,1.66,0.5302114,1.0,04,25
1.73,0.61672443,2.14,0.3832756,0.0,04,25
1.82,0.43284044,2.0,0.56715953,1.0,04,25
1.85,0.5960877,2.01,0.4039123,1.0,04,25
1.79,0.4250448,2.01,0.5749551,0.0,04,25
1.69,0.49169564,2.2,0.5083043,1.0,04,25
1.54,0.7739117,2.62,0.22608829,1.0,04,25
1.49,0.74284464,2.76,0.25715536,0.0,04,26
2.07,0.44327295,1.82,0.5567271,0.0,04,26
2.97,0.16635108,1.43,0.8336489,0.0,04,26
2.16,0.30893835,1.75,0.6910617,0.0,04,26
1.64,0.6983485,2.37,0.30165145,1.0,04,26
1.81,0.78026885,2.07,0.2197311,1.0,04,26
1.42,0.7100012,3.02,0.28999883,1.0,04,26
2.06,0.62954044,1.82,0.3704596,1.0,04,26
1.97,0.5415598,1.9,0.45844018,1.0,04,26
2.45,0.5383259,1.61,0.4616741,0.0,04,26
2.12,0.32268754,1.77,0.6773125,0.0,04,26
2.09,0.589738,1.81,0.41026196,1.0,04,26
1.31,0.47617772,3.69,0.52382225,0.0,04,26
2.31,0.459454,1.67,0.54054594,1.0,04,26
1.47,0.782028,2.83,0.21797195,1.0,04,26
1.5,0.7785466,2.72,0.22145346,1.0,04,27
1.46,0.70821583,2.81,0.2917842,0.0,04,27
1.79,0.44776034,2.1,0.5522396,0.0,04,27
1.49,0.42301992,2.77,0.5769801,1.0,04,27
1.96,0.3956266,1.9,0.60437334,1.0,04,27
1.47,0.7506346,2.83,0.24936542,1.0,04,27
1.86,0.7148306,2.01,0.28516942,0.0,04,27
1.83,0.6609475,2.04,0.3390525,1.0,04,27
1.94,0.43018216,1.92,0.5698178,0.0,04,27
1.84,0.54559916,2.02,0.45440078,0.0,04,27
1.82,0.32259688,2.03,0.6774031,0.0,04,27
1.8,0.63856417,2.08,0.3614358,1.0,04,27
1.59,0.3763719,2.45,0.6236281,0.0,04,27
1.76,0.46968445,2.14,0.5303156,0.0,04,27
1.8,0.40672347,2.09,0.5932765,1.0,04,28
1.25,0.787711,4.08,0.21228896,1.0,04,28
1.71,0.66936755,2.23,0.33063245,0.0,04,28
1.66,0.65220475,2.29,0.34779525,1.0,04,28
1.49,0.3516703,2.74,0.6483297,0.0,04,28
2.08,0.37719986,1.79,0.6228002,1.0,04,28
1.82,0.38722083,2.04,0.61277914,0.0,04,28
1.35,0.56123435,3.41,0.43876567,1.0,04,29
1.85,0.64193463,2.0,0.3580653,1.0,04,29
2.69,0.32295802,1.5,0.677042,1.0,04,29
1.64,0.67568797,2.34,0.32431206,1.0,04,29
2.07,0.5197129,1.78,0.48028708,1.0,04,29
1.67,0.53902787,2.31,0.4609722,1.0,04,29
1.82,0.5001916,2.06,0.49980837,0.0,04,29
2.23,0.66770285,1.68,0.33229715,1.0,04,29
1.85,0.3386928,2.01,0.6613072,0.0,04,29
1.81,0.52231693,2.07,0.47768316,0.0,04,29
2.29,0.4291375,1.67,0.5708625,0.0,04,29
1.72,0.25300595,2.21,0.7469941,0.0,04,29
2.06,0.46799505,1.82,0.53200495,1.0,04,29
1.55,0.6691199,2.56,0.33088014,0.0,04,29
1.68,0.59223896,2.23,0.407761,1.0,04,29
2.08,0.45739537,1.8,0.5426046,0.0,04,30
1.7,0.45166004,2.25,0.54833996,0.0,04,30
1.59,0.6083271,2.48,0.39167294,1.0,04,30
1.85,0.5618137,2.02,0.43818626,1.0,04,30
1.79,0.53020877,2.11,0.4697912,1.0,04,30
1.57,0.62467384,2.53,0.3753261,0.0,04,30
2.06,0.40129146,1.82,0.5987086,1.0,04,30
1.49,0.7451864,2.74,0.25481355,1.0,04,30
1.82,0.59658325,2.07,0.40341675,1.0,04,30
2.07,0.29758754,1.81,0.7024125,0.0,04,30
1.91,0.7141086,1.95,0.28589144,1.0,04,30
1.46,0.28044757,2.82,0.71955246,0.0,04,30
1.5,0.6332846,2.7,0.36671537,0.0,04,30
1.98,0.5572941,1.88,0.44270587,1.0,04,30
1.78,0.4779543,2.11,0.52204573,0.0,05,01
2.06,0.47486964,1.82,0.5251304,0.0,05,01
1.99,0.5575581,1.87,0.44244188,0.0,05,01
1.64,0.63222957,2.39,0.36777037,0.0,05,01
2.0,0.35872865,1.87,0.64127135,1.0,05,01
1.71,0.48090783,2.23,0.51909214,0.0,05,01
2.04,0.425769,1.83,0.57423097,0.0,05,01
1.47,0.48137578,2.79,0.5186242,0.0,05,01
2.11,0.4090842,1.79,0.5909158,1.0,05,01
1.88,0.6633333,1.99,0.33666667,0.0,05,01
1.64,0.5081384,2.36,0.49186158,0.0,05,01
1.93,0.20765743,1.92,0.79234254,0.0,05,01
1.33,0.7173244,3.53,0.28267562,1.0,05,01
1.83,0.5392575,2.05,0.46074247,0.0,05,01
1.59,0.62952876,2.5,0.37047127,1.0,05,01
1.71,0.31208193,2.22,0.68791807,0.0,05,02
1.61,0.6226687,2.44,0.37733132,0.0,05,02
2.44,0.62869394,1.6,0.371306,0.0,05,02
1.49,0.46468353,2.75,0.53531647,1.0,05,02
1.92,0.59656346,1.94,0.4034366,1.0,05,02
1.56,0.7677645,2.55,0.23223548,0.0,05,02
1.83,0.5145155,2.06,0.48548448,0.0,05,02
1.58,0.645543,2.5,0.354457,1.0,05,02
1.93,0.21320826,1.94,0.7867917,0.0,05,02
2.04,0.29531163,1.84,0.70468843,1.0,05,02
1.77,0.43897936,2.12,0.5610207,1.0,05,03
1.84,0.778423,2.03,0.22157699,1.0,05,03
2.59,0.20746699,1.55,0.792533,0.0,05,03
1.54,0.6894517,2.62,0.31054825,1.0,05,03
2.17,0.6369242,1.74,0.36307582,0.0,05,03
1.43,0.42982787,2.98,0.5701721,0.0,05,03
1.67,0.46197578,2.3,0.53802425,0.0,05,03
1.69,0.47588983,2.24,0.52411014,1.0,05,03
1.64,0.78566396,2.35,0.21433601,1.0,05,03
