HOMEODDS,HOMEPREDICTION,AWAYODDS,AWAYPREDICTION,RESULT
1.84,0.49060112,2.03,0.5093988,1.0
1.91,0.71071035,1.95,0.28928968,1.0
2.14,0.43859833,1.76,0.5614017,0.0
1.52,0.58413535,2.67,0.41586468,1.0
2.25,0.5567836,1.7,0.44321632,0.0
2.32,0.6035833,1.66,0.39641663,0.0
2.03,0.14105625,1.84,0.85894376,0.0
2.06,0.43330133,1.82,0.5666987,0.0
1.53,0.5753988,2.65,0.42460117,1.0
1.78,0.6525158,2.11,0.34748414,0.0
1.49,0.6998354,2.73,0.30016464,1.0
1.62,0.59385186,2.42,0.40614814,1.0
1.84,0.445166,2.03,0.55483407,0.0
1.63,0.75131136,2.4,0.24868858,1.0
1.63,0.6678481,2.39,0.33215186,1.0
1.54,0.67052186,2.63,0.32947814,1.0
1.78,0.5562937,2.12,0.4437062,1.0
1.9,0.6744673,1.96,0.32553267,1.0
1.51,0.700462,2.7,0.299538,1.0
1.92,0.67217,1.94,0.32783005,1.0
1.69,0.61281216,2.26,0.38718787,1.0
1.91,0.44507295,1.95,0.5549271,0.0
1.75,0.5565699,2.17,0.4434301,0.0
2.71,0.46766138,1.5,0.5323386,1.0
1.74,0.52495366,2.19,0.47504634,0.0
1.96,0.6149491,1.9,0.3850509,1.0
1.96,0.46148783,1.9,0.5385122,1.0
1.76,0.60694677,2.15,0.39305326,1.0
1.77,0.68952227,2.14,0.31047767,1.0
1.73,0.65905833,2.21,0.3409416,1.0
1.87,0.53431654,2.0,0.46568343,0.0
2.48,0.04052014,1.59,0.95947987,0.0
1.77,0.6554321,2.13,0.34456787,1.0
2.05,0.59463745,1.83,0.40536252,1.0
1.78,0.610832,2.12,0.389168,0.0
2.17,0.6478265,1.75,0.35217357,0.0
1.53,0.5647913,2.65,0.43520874,1.0
2.36,0.50169516,1.64,0.49830484,1.0
2.08,0.5892238,1.81,0.41077626,0.0
2.4,0.4696165,1.61,0.5303835,1.0
2.31,0.5506077,1.67,0.44939238,0.0
2.0,0.46094635,1.87,0.5390536,0.0
1.74,0.64224005,2.18,0.35775995,1.0
1.68,0.6172739,2.29,0.3827261,1.0
1.55,0.562282,2.59,0.43771794,1.0
1.92,0.6279087,1.94,0.3720913,0.0
2.08,0.6174106,1.81,0.38258937,1.0
1.83,0.06456044,2.03,0.9354396,0.0
1.43,0.66897625,2.96,0.33102375,1.0
1.88,0.6450291,1.99,0.3549709,0.0
1.61,0.5843899,2.43,0.41561,0.0
2.18,0.46848193,1.74,0.53151804,0.0
2.1,0.64267725,1.79,0.3573227,0.0
1.65,0.6004937,2.36,0.39950624,0.0
2.05,0.63837194,1.83,0.36162812,0.0
1.75,0.6492814,2.16,0.35071865,1.0
1.74,0.49133593,2.18,0.5086641,0.0
2.27,0.03213514,1.68,0.9678649,0.0
1.62,0.6266522,2.4,0.3733478,1.0
1.5,0.6615758,2.72,0.3384242,1.0
1.9,0.5679616,1.96,0.4320384,1.0
1.85,0.5950339,2.01,0.40496615,0.0
1.43,0.65072817,2.98,0.34927192,1.0
1.84,0.6520889,2.04,0.34791112,0.0
1.51,0.5415314,2.68,0.45846865,0.0
2.36,0.45212182,1.64,0.5478782,0.0
1.86,0.45785198,2.0,0.54214805,0.0
1.48,0.58344,2.75,0.41656005,1.0
1.74,0.67004174,2.17,0.32995832,1.0
1.75,0.60576355,2.16,0.39423636,1.0
2.09,0.62075585,1.79,0.37924415,1.0
1.84,0.60267764,2.02,0.39732236,0.0
2.03,0.6323557,1.83,0.3676443,1.0
