HOMEODDS,HOMEPREDICTION,AWAYODDS,AWAYPREDICTION,RESULT,MONTH,DAY
1.54,0.8487511,2.6,0.15124883,1.0,04,16
1.98,0.49547043,1.88,0.5045296,0.0,04,16
1.88,0.4882668,1.98,0.5117332,1.0,04,17
1.74,0.7040161,2.17,0.29598388,0.0,04,17
1.84,0.39027247,2.02,0.6097275,0.0,04,17
1.56,0.8717752,2.53,0.12822485,1.0,04,17
1.84,0.6695569,2.03,0.3304431,1.0,04,17
1.96,0.4978061,1.9,0.5021939,0.0,04,17
2.13,0.42332965,1.76,0.57667035,0.0,04,17
1.67,0.7178257,2.31,0.28217432,1.0,04,17
2.42,0.35899648,1.61,0.64100355,0.0,04,17
1.39,0.56221277,3.14,0.43778723,1.0,04,17
1.57,0.6457291,2.52,0.3542708,0.0,04,17
1.6,0.70791024,2.43,0.29208976,1.0,04,17
1.83,0.899141,2.03,0.10085899,1.0,04,17
2.32,0.70303506,1.65,0.29696494,1.0,04,17
1.58,0.56805766,2.48,0.43194234,0.0,04,18
1.5,0.7755245,2.71,0.22447546,1.0,04,18
1.91,0.56202745,1.94,0.43797255,1.0,04,18
1.55,0.59505266,2.57,0.40494734,0.0,04,18
1.48,0.5832012,2.77,0.4167988,0.0,04,18
1.38,0.51031727,3.18,0.48968276,0.0,04,18
1.58,0.6606731,2.48,0.3393269,1.0,04,19
1.59,0.64577585,2.47,0.35422406,1.0,04,19
1.95,0.7488299,1.93,0.2511701,1.0,04,19
1.9,0.46684387,1.96,0.5331562,0.0,04,19
2.06,0.28318927,1.78,0.7168107,1.0,04,19
1.93,0.61288714,1.94,0.38711286,0.0,04,19
1.98,0.5059992,1.89,0.49400076,0.0,04,19
1.84,0.6906881,2.03,0.30931196,1.0,04,19
1.84,0.6009453,2.02,0.3990547,0.0,04,19
1.6,0.4755681,2.44,0.52443194,0.0,04,19
1.39,0.71368104,3.17,0.2863189,1.0,04,20
1.65,0.54014075,2.33,0.45985922,1.0,04,20
1.75,0.54520786,2.16,0.45479214,0.0,04,20
2.67,0.23041922,1.53,0.76958084,0.0,04,20
1.73,0.81800604,2.18,0.18199395,1.0,04,20
1.74,0.6474114,2.17,0.3525886,0.0,04,20
1.7,0.7228797,2.22,0.27712026,1.0,04,20
3.06,0.2797574,1.42,0.7202426,1.0,04,20
1.72,0.62493235,2.21,0.37506762,0.0,04,20
1.99,0.57731146,1.87,0.42268854,1.0,04,20
1.7,0.7023278,2.22,0.29767224,0.0,04,20
2.67,0.28416482,1.53,0.7158352,0.0,04,20
2.92,0.65793884,1.44,0.34206125,1.0,04,20
1.71,0.53595537,2.24,0.46404463,0.0,04,20
1.79,0.38019606,2.11,0.6198039,0.0,04,20
1.83,0.5584989,2.03,0.44150108,0.0,04,20
2.32,0.20972343,1.66,0.7902766,0.0,04,21
1.46,0.74215287,2.82,0.25784716,1.0,04,21
1.87,0.55732155,1.99,0.44267848,1.0,04,21
2.41,0.24554738,1.61,0.75445265,0.0,04,21
1.67,0.7387268,2.28,0.26127318,0.0,04,21
2.14,0.5031948,1.76,0.4968052,0.0,04,21
1.87,0.51605964,1.99,0.4839404,0.0,04,21
2.19,0.4416498,1.73,0.5583502,1.0,04,21
1.91,0.5967485,1.94,0.40325147,1.0,04,21
3.17,0.6789341,1.39,0.3210659,1.0,04,21
2.18,0.63295585,1.75,0.36704412,1.0,04,21
1.82,0.6231201,2.05,0.3768799,1.0,04,21
1.67,0.61616254,2.3,0.38383752,0.0,04,21
1.92,0.5203727,1.94,0.47962725,1.0,04,21
1.9,0.641416,1.96,0.358584,0.0,04,21
1.88,0.557694,1.98,0.44230598,1.0,04,22
2.11,0.31710204,1.77,0.682898,0.0,04,22
1.74,0.4352288,2.18,0.5647712,0.0,04,22
1.56,0.693269,2.55,0.30673093,1.0,04,22
1.65,0.68877304,2.33,0.31122702,1.0,04,22
1.47,0.7962008,2.8,0.20379917,0.0,04,23
1.42,0.7411583,3.03,0.25884172,0.0,04,23
2.0,0.70968455,1.87,0.29031542,1.0,04,23
2.16,0.3812513,1.75,0.6187487,1.0,04,23
1.9,0.39236364,1.97,0.6076364,0.0,04,23
1.89,0.5909618,1.97,0.40903828,0.0,04,23
1.47,0.7333118,2.8,0.2666882,0.0,04,23
1.79,0.650617,2.11,0.34938297,1.0,04,23
1.52,0.73582494,2.67,0.2641751,1.0,04,23
1.84,0.67487586,2.04,0.32512417,1.0,04,23
1.6,0.77391624,2.46,0.22608376,1.0,04,23
1.8,0.3139812,2.08,0.6860188,0.0,04,23
1.86,0.6060257,2.01,0.3939743,0.0,04,23
1.68,0.76675206,2.28,0.23324789,1.0,04,23
1.62,0.73050666,2.4,0.26949334,1.0,04,24
1.43,0.69739354,2.96,0.30260646,0.0,04,24
1.74,0.65004456,2.15,0.34995544,1.0,04,24
2.33,0.4707592,1.61,0.5292408,1.0,04,24
1.65,0.7888013,2.33,0.21119867,1.0,04,24
1.73,0.30379826,2.2,0.69620174,1.0,04,24
2.05,0.63316596,1.82,0.3668341,0.0,04,24
1.98,0.66165453,1.89,0.33834556,0.0,04,24
2.16,0.55466527,1.74,0.4453347,0.0,04,24
1.8,0.41442412,2.08,0.5855759,1.0,04,24
1.87,0.3150217,1.99,0.68497837,0.0,04,24
1.46,0.8008004,2.86,0.19919966,1.0,04,24
1.89,0.6610186,1.97,0.33898136,1.0,04,24
1.67,0.82664275,2.3,0.1733572,1.0,04,24
1.94,0.5621769,1.92,0.43782312,0.0,04,24
1.89,0.3207739,1.96,0.6792261,0.0,04,25
2.02,0.59024835,1.84,0.4097517,0.0,04,25
1.7,0.7135403,2.22,0.2864597,1.0,04,25
1.5,0.7407465,2.7,0.2592535,0.0,04,25
1.43,0.8080259,2.95,0.19197412,1.0,04,25
2.01,0.59338385,1.85,0.4066162,1.0,04,25
1.55,0.7696335,2.55,0.23036647,1.0,04,26
1.47,0.5630282,2.8,0.43697178,0.0,04,26
1.79,0.49383923,2.09,0.50616074,1.0,04,26
1.59,0.49296203,2.46,0.507038,0.0,04,26
1.63,0.5334492,2.36,0.46655086,0.0,04,26
1.63,0.7924895,2.35,0.20751046,0.0,04,26
1.67,0.577318,2.28,0.422682,1.0,04,26
1.51,0.55448234,2.68,0.44551766,1.0,04,27
1.67,0.6942543,2.28,0.3057457,1.0,04,27
1.93,0.46812496,1.92,0.531875,1.0,04,27
1.75,0.57484066,2.14,0.42515936,0.0,04,27
1.77,0.82339406,2.11,0.17660592,1.0,04,27
1.99,0.35676226,1.87,0.64323777,0.0,04,27
1.59,0.54755694,2.46,0.45244312,0.0,04,27
1.51,0.8006464,2.68,0.19935359,1.0,04,27
1.75,0.46449432,2.15,0.5355057,0.0,04,27
1.95,0.7237792,1.9,0.27622086,1.0,04,27
1.82,0.48474932,2.06,0.5152506,0.0,04,27
